random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1680,2640,3780,5700,13080,7960
1440,2860,1360,29200,4560,11600
7680,2640,2640,11000,2160,4820
5740,4240,5320,8220,2160,8260
7980,2900,8100,23460,20980,11760
9020,4280,2980,19380,7180,12400
1440,3260,3860,3800,2260,4500
3160,5320,3400,8680,4920,10940
2160,2160,9420,5040,2400,2680
2600,3580,4360,6620,9820,5020
1600,2040,1680,17360,6420,5540
1480,8380,19820,8200,9420,13200
1800,2400,3000,5580,4660,4720
2160,1960,14160,4080,10200,4080
1560,2900,1920,7920,4200,3240
1680,2540,1480,10040,3540,13080
1560,3380,2140,5920,3360,3640
1920,5080,15300,17680,4000,14240
2420,2880,4700,16020,4080,3480
1680,1320,1320,4000,4400,1680
3160,3140,1920,10020,2160,8100
2940,2180,2520,3440,3820,3680
3200,3860,14060,12280,10760,16080
1680,2300,1440,7560,8120,3220
2520,2640,1560,3780,2280,2760
3580,4960,3080,13100,28260,4060
1560,1800,2960,2280,4480,2040
3060,3380,2140,14960,9380,9520
2520,3540,5640,4860,8300,3140
4940,5700,4540,8860,9580,2500
2500,2980,2740,6760,10580,4660
1680,2740,5040,16400,5380,5160
1600,16480,1800,2860,13840,13540
1560,3220,2520,4080,3640,3600
1920,3140,2400,11000,2640,2980
3320,4660,3240,6500,2760,6680
2040,2760,4720,5580,16520,5840
2040,1680,1560,1920,7320,2740
2800,2880,1320,20260,23620,4980
1560,2620,1680,3100,6180,13880
4700,4760,1920,15300,9540,10060
1320,2880,1840,2960,18700,3500
1800,7880,2660,7280,9120,9680
3360,2980,9000,17400,3960,15320
2400,3860,4740,14360,21660,4060
5540,2800,2680,7060,4620,3040
3280,2560,2320,2960,9220,3960
3360,2400,2640,12000,2860,3980
2980,2540,2300,5640,3220,2980
2320,1560,2380,3720,3100,2280
1920,1920,5400,6040,6500,10060
6600,4660,1320,14760,12800,7000
2300,2520,1920,4700,17840,19680
3540,2880,5360,4220,9040,10000
2280,10900,2620,8320,10120,4640
1680,3240,3420,8680,5800,13640
1720,1800,4180,14860,4520,3100
1440,4520,2160,2280,8160,8040
1680,2800,2280,11160,4120,10820
1920,3460,1560,4540,8460,10140
3280,4000,3620,4340,16880,20960
2780,3440,3240,2040,3020,3800
1320,2040,6960,14340,6520,3800
1200,30940,3800,4180,1800,7640
1320,3260,1560,9080,4740,9400
1320,8080,2420,6820,2900,2080
2040,4420,3740,3560,1680,3000
2140,3140,3240,3600,2140,3640
2380,8260,20900,3340,12180,2160
1560,1920,8560,4380,11840,3880
1960,2200,7380,3360,5160,6340
2180,3140,14960,3520,6700,17480
1320,2320,2040,2500,6340,5780
7320,2500,7200,2120,9160,1920
2640,2400,1800,22300,3700,16120
1900,1920,2620,4660,2880,3800
2280,2160,2760,5220,4400,12340
1800,1920,3820,5920,8740,11100
2420,6000,2140,2740,4120,18060
2200,2040,2960,3200,2540,4680
2500,2640,2540,3340,3100,1480
1200,2040,1680,8700,5480,12600
1920,5960,1840,2600,3220,6220
1800,3300,8180,5000,7320,9160
1920,10620,8560,21200,14900,9040
1440,2280,3100,15760,3740,9860
1560,5900,2580,8620,12980,3600
2060,2280,5960,4640,2900,8820
2900,16320,6160,4340,7060,13280
1560,5120,3600,8040,12900,3640
2520,1680,3360,5780,2540,9000
2740,3340,1680,3000,22420,2380
3020,2620,1440,4300,14980,3600
1680,5340,3220,10840,4600,9300
2160,1440,4080,8920,2860,3020
1360,1920,1800,4200,3260,5420
2980,3440,1560,2460,3060,4000
2540,7120,1440,4020,4040,3380
1800,2040,1680,16180,7760,15860
2840,4140,3740,11880,5960,15600
1200,14260,2400,3640,3320,9420
2740,2620,2740,7320,3020,4700
4360,6680,9780,13480,15460,4260
1800,2600,1560,4220,3040,6640
1560,9260,3080,5720,7520,12120
3440,13120,2960,2240,3060,2880
1440,2520,8400,2160,10480,19780
1720,3860,1920,5040,5320,20240
2160,2040,1560,2160,5900,5000
2080,2040,1440,2160,5680,3460
2180,4260,3720,2740,2520,4160
1320,3580,1920,3900,3820,3660
1680,1680,2420,2040,7480,2380
2040,1920,4280,6000,2420,14280
1560,4140,3580,4080,4680,5240
1960,3240,5640,8120,3240,3340
2540,4580,8880,6280,3640,6340
6640,5360,4000,9140,16100,8680
2320,1920,2280,14800,9020,1920
1680,5620,3100,6600,5760,5580
2300,6620,6460,14740,21340,15120
2080,3460,2540,3140,2280,1920
1920,3240,3540,3140,21020,4540
1720,4040,11260,3200,5820,6280
9840,4160,1920,9920,2160,17860
1320,17720,2520,2820,15020,4280
1240,1680,7600,4840,19320,2660
1560,1920,3600,8900,11240,4740
2640,1920,2400,4440,7540,2660
2780,2660,3580,8400,4240,10140
3980,2320,1800,10180,6920,7020
1800,2160,3520,4960,11220,2540
1440,3160,1320,4880,8600,8080
2520,2160,1440,4920,3140,10340
2500,6040,3600,2980,22960,12200
2840,1680,1680,1680,2280,1480
1680,5460,5900,5880,5160,13040
1200,1560,2600,2900,4500,6880
3480,4480,2180,3720,4160,8300
2300,4580,2040,2560,1920,2760
2040,4820,4660,5160,10420,12720
1800,2400,2400,20680,3340,15780
1960,3040,10080,6980,13700,6000
1560,1800,3820,3200,30600,3560
1600,3020,4520,2540,7600,5700
1320,6720,8900,10480,9640,10700
1920,3500,10500,12580,11740,19460
1440,1680,1320,2420,5720,4440
1680,19420,21300,10240,13560,19020
1680,4080,2040,4800,4520,8140
1320,3100,1920,8080,2320,4160
2500,2500,9360,27980,14260,18480
1920,3440,2800,3100,2400,5320
2480,2620,8780,9700,15740,25400
3700,3980,8660,12320,5300,5640
7320,2040,3320,5040,9560,10780
2040,2280,2900,14120,14640,10440
1560,2040,2520,4300,2040,3460
1440,5320,2140,7400,7360,1760
2040,3040,13340,9640,3140,4640
2140,5160,2920,8140,4040,5520
1560,3120,8360,7460,13000,2740
1560,3560,6040,14560,1680,4180
1920,3120,3700,5080,5260,9400
4100,3260,2620,2780,12600,5200
1800,5180,5480,4000,2040,2400
1800,4080,3020,3900,8860,15620
1320,3940,2500,22980,5540,9400
2040,7720,7680,7240,16460,3200
1320,2320,2140,9780,8700,2780
1920,3020,2760,3360,3720,3640
2980,3580,2780,7440,1800,2400
1440,4400,3280,8800,3520,4500
3900,4540,3420,11600,9480,12020
2160,3160,3860,9760,3820,9380
3320,1560,1560,2760,3280,2860
2280,4620,1320,9220,7360,14400
2160,2040,4300,11500,18560,10300
1200,7480,7520,9540,12580,20840
1800,2520,2460,14900,4920,6740
2620,3140,5220,4580,3080,3680
1680,2280,5300,2160,4320,6020
2040,2160,6840,12100,16200,14680
2260,2160,2060,9300,4400,4880
1440,2260,3560,3460,3360,8020
1840,2280,1560,10660,3800,6120
3040,5680,5320,4960,9480,17940
2160,2320,1680,2660,14840,20120
1480,1920,3180,1800,3480,2860
1560,6120,1840,4580,3500,2200
4400,3360,4800,4780,6460,20180
3480,3380,2860,8380,2720,2380
3100,4080,2720,4680,8460,4200
1320,2640,1920,7520,8140,2660
1360,3840,1800,9060,10200,4040
1560,2800,8280,21060,14780,15860
1440,8260,1800,20560,5220,2560
1440,7140,3940,4000,4000,10100
2980,2800,4620,10820,9240,5060
6920,9560,4280,9760,16420,8620
2520,2660,2840,11920,8260,6600
1560,1440,10060,14040,1800,5160
3600,3460,8420,3480,4880,2780
2040,1560,7400,2620,3560,7800
1800,1800,5820,2640,2320,1800
1440,2520,7920,14280,2880,6060
2040,2640,1560,3280,4200,3600
3040,1800,3360,3140,9340,3360
1920,2160,1320,2620,3340,2040
1920,1920,2420,8420,5240,3020
1200,3020,1920,6180,10260,3160
2540,3700,2420,2040,8260,3820
2260,3720,2740,18200,4600,3600
1600,8560,1920,5300,7400,1680
2380,2880,4860,14300,4060,7920
2840,4360,3940,4240,10580,7760
2160,2040,1440,1560,2900,4880
1560,1920,2540,4800,2520,3980
2420,4040,7680,10280,3500,7960
2020,6960,1800,3700,6080,2320
1920,6080,2800,14060,3020,15020
1200,3520,9180,5520,5000,6080
3120,2200,14820,11880,3640,5340
2520,2400,5620,4440,16900,3000
3740,5620,3380,4320,11420,9460
1560,2420,3240,9480,8880,3520
1440,4260,3740,3920,4200,9900
1440,3820,12400,2520,3380,3260
1800,2040,8740,5460,14440,4180
1720,2160,2440,20280,4060,14520
1560,2080,2160,1920,4200,7440
1920,3960,1560,4660,9540,8320
3020,3680,1440,5180,4820,8860
7200,10800,7460,12040,14540,7700
4120,2740,4780,5740,11240,10440
2680,3960,6120,7820,3860,12980
3360,3240,3400,3740,4240,3700
3400,12800,10920,10980,4500,10860
2720,1560,7500,15380,3380,4320
1920,4160,3960,11500,12760,7200
1440,9560,1440,3480,9140,3140
1320,8920,2620,3620,4160,14640
1920,11360,12800,3320,5340,4040
1680,3380,1920,5880,3520,4420
1920,3520,3480,5000,4380,2160
1800,4020,2680,10180,9800,11960
2660,5380,12340,5240,21940,2400
1680,2160,4420,6160,4320,4700
1840,11780,5440,14660,6880,5360
5280,2080,4900,15280,8300,2980
2160,1560,2720,3220,6460,12780
1680,4040,2040,3540,2180,2780
1560,7160,1560,3520,4460,21820
3840,2400,3960,13940,2980,3700
2020,3000,1320,6800,4880,13360
4560,4040,4080,4340,3600,5340
1680,5780,2160,12580,14840,10560
3220,4500,4960,3960,7960,6560
1440,2400,3240,7700,8540,5140
2280,2040,3020,4400,5360,4080
5880,5180,3560,9200,7980,3800
1800,8220,13640,27580,8120,9420
1440,5260,9040,7220,9760,3000
1320,1680,3100,1600,3340,2540
1680,5080,1840,5100,19740,5160
1920,4060,10280,8440,4140,8160
2280,2980,1560,3680,5100,19700
1440,3340,3380,5000,4540,10580
1320,1560,3160,6480,3960,12700
2260,2520,1240,5620,5200,2520
1440,2040,3020,14620,9960,2200
2920,4460,3580,3920,3360,13520
1440,2280,7600,4180,8520,7580
1440,1320,7500,6440,16740,2400
1440,2040,1560,8080,1680,2860
1200,2140,5520,6160,6080,5780
15100,2380,2620,8260,5140,10800
1920,2040,10060,4460,11900,3720
1800,3760,9480,19640,8620,10760
2040,2420,2060,2460,8180,7860
2000,5000,2680,2420,2440,2960
2040,1800,2840,3800,3680,25260
1200,2920,1200,2960,2660,13720
2080,4620,4200,3960,3840,7540
1680,4700,2520,2040,2040,5760
1560,4540,15160,24580,13700,26000
1560,1680,2300,1560,4560,11020
1680,2440,10680,13520,2880,6560
1800,3460,3200,2380,4540,20940
1440,5320,3440,10020,5000,5780
2420,3740,8260,3960,6640,1920
1440,2860,3940,6000,6000,5500
2040,3100,1920,9060,9860,13400
1800,3340,6500,3920,14980,4420
1880,1440,2220,3520,3160,3520
2040,4320,11780,4140,4320,3220
2320,2780,3500,8720,2160,8320
1680,6580,7980,8640,7540,5700
1320,4960,5000,12880,1840,10120
1920,3140,2980,5720,3960,4220
1680,2640,4560,7820,14780,14340
1320,2180,1800,3440,2200,2160
2040,3440,2400,4360,5900,4040
2060,2520,1800,3100,2640,2040
7520,2620,13520,10900,4680,7240
1920,1800,4540,4600,5360,5900
1800,3340,1920,12080,4580,4080
6960,3920,2160,2640,6320,5220
1680,3220,8500,6020,8360,11040
1440,2760,1680,11360,9640,3520
1920,4860,1440,3500,2660,4220
2400,1680,6880,16220,11840,3640
2000,5260,5500,12000,4780,10740
9840,4200,22020,19920,18400,17300
2500,2400,7440,4060,8860,2760
2040,3320,2160,12880,8360,8960
1560,3960,4760,2260,11320,8180
1320,2520,1920,4580,3920,11620
1440,1920,2900,3840,2920,2160
2280,3860,1680,5000,4360,17340
1680,2160,2740,3400,9560,8380
1680,2240,1920,8760,13220,6660
1480,2860,2040,2040,16800,3820
1600,4280,4460,15400,23800,9840
2520,2900,3320,4840,20340,3220
1920,1560,5800,3600,24040,9080
2160,9080,4500,6240,5320,3480
2040,2160,9160,8240,3940,3040
3340,5140,7460,5280,5260,4320
1680,2520,1680,2040,2580,1560
3360,8100,7800,5960,3560,16220
1440,1920,1800,2000,2040,2540
2280,3220,1560,3700,5740,4240
1680,4080,2040,3720,19500,5040
1560,2420,3240,10380,5980,5000
