500
2
2000
2
30201020506030402020502040101010601010405060501040506020103010405060301030603040106020203060206060
(((0, 2), (1, 2)), 1, 120.0)
(((0, 3), (1, 3)), 1, 320.0)
(((1, 3), (1, 4)), 1, 120.0)
(((2, 0), (3, 0)), 1, 120.0)
(((2, 1), (2, 2)), 1, 133.33333333333334)
(((2, 2), (3, 2)), 1989, 2085.9691158514624)
(((2, 2), (2, 3)), 1, 173.33333333333334)
(((4, 5), (4, 6)), 1, 120.0)
(((5, 2), (6, 2)), 1, 200.0)
(((5, 3), (5, 4)), 1, 160.0)
(((5, 5), (6, 5)), 1, 133.33333333333334)
(((5, 5), (5, 6)), 1, 146.66666666666666)
