500
2
2000
2
50405040304040603040301040103010103020104020205040306030102050305020104050602030302030403020201030
(((0, 2), (1, 2)), 50, 219.38)
(((0, 3), (0, 4)), 37, 190.7027027027027)
(((1, 5), (2, 5)), 1581, 604.2182464383601)
(((1, 5), (1, 6)), 34, 178.94117647058823)
(((2, 5), (2, 6)), 30, 164.8)
(((3, 3), (4, 3)), 43, 205.48837209302326)
(((3, 3), (3, 4)), 58, 230.51149425287358)
(((4, 3), (5, 3)), 32, 173.07291666666666)
(((4, 3), (4, 4)), 106, 274.10377358490575)
(((5, 1), (5, 2)), 29, 164.48275862068968)
