500
2
2000
2
30606040506010206020506040501010602030606030304040203040605040205030103060604020404060102030103030
(((1, 1), (1, 2)), 5, 178.0)
(((1, 4), (2, 4)), 5, 170.0)
(((1, 4), (1, 5)), 5, 198.0)
(((2, 1), (2, 2)), 5, 172.0)
(((2, 4), (2, 5)), 4, 157.5)
(((3, 3), (3, 4)), 5, 226.0)
(((4, 0), (5, 0)), 5, 210.0)
(((4, 2), (4, 3)), 5, 206.0)
(((4, 3), (4, 4)), 4, 157.5)
(((5, 0), (6, 0)), 5, 206.0)
(((5, 0), (5, 1)), 5, 168.0)
(((5, 2), (5, 3)), 1938, 917.1591560600863)
(((5, 3), (5, 4)), 5, 200.0)
(((5, 5), (6, 5)), 4, 137.5)
