500
2
2000
2
30102040402030604010304040306030105030605050605030305040101060506040305060505030501020303010204030
(((0, 1), (0, 2)), 10, 215.83333333333334)
(((0, 3), (1, 3)), 9, 174.44444444444446)
(((0, 5), (1, 5)), 7, 141.42857142857142)
(((1, 3), (1, 4)), 9, 182.96296296296296)
(((2, 3), (3, 3)), 1880, 675.9067122593713)
(((2, 3), (2, 4)), 8, 160.0)
(((3, 0), (3, 1)), 7, 148.57142857142858)
(((3, 2), (3, 3)), 15, 267.2222222222223)
(((4, 1), (4, 2)), 9, 198.88888888888889)
(((4, 2), (4, 3)), 11, 224.54545454545453)
(((4, 4), (5, 4)), 7, 134.28571428571428)
(((5, 0), (5, 1)), 11, 219.0909090909091)
(((5, 4), (5, 5)), 17, 286.47058823529414)
