500
2
2000
2
10103020506060502030405030401030101020301040103050205010102010105050605040305030104050405060305060
(((2, 0), (2, 1)), 9, 278.3333333333333)
(((2, 1), (3, 1)), 21, 406.2698412698413)
(((2, 1), (2, 2)), 22, 410.37878787878793)
(((2, 2), (3, 2)), 6, 158.33333333333334)
(((3, 0), (3, 1)), 7, 216.66666666666666)
(((3, 1), (4, 1)), 18, 367.0185185185185)
(((3, 1), (3, 2)), 8, 241.875)
(((3, 3), (4, 3)), 7, 221.42857142857142)
(((3, 4), (4, 4)), 7, 210.0)
(((4, 0), (4, 1)), 1873, 984.5522631547724)
(((4, 3), (5, 3)), 6, 165.0)
(((4, 3), (4, 4)), 6, 181.66666666666666)
(((5, 5), (6, 5)), 10, 286.1666666666667)
