500
2
2000
2
10202040603040306030403040502020305060102010501050503020302050605060302050603060102020603030206050
(((2, 3), (2, 4)), 51, 196.9607843137255)
(((3, 1), (3, 2)), 86, 240.9457364341085)
(((3, 2), (4, 2)), 383, 320.3986074847694)
(((3, 3), (4, 3)), 36, 160.0)
(((4, 0), (4, 1)), 48, 191.60416666666666)
(((4, 1), (4, 2)), 964, 362.11475004939734)
(((4, 2), (4, 3)), 92, 245.82608695652175)
(((4, 3), (5, 3)), 54, 201.9814814814815)
(((4, 3), (4, 4)), 171, 284.53606237816786)
(((4, 4), (5, 4)), 64, 217.0625)
(((5, 4), (5, 5)), 51, 195.94117647058823)
