500
2
2000
2
40401040401030604010402040506060301040102030506050503010103040603010102010405060304030502020101040
(((0, 1), (0, 2)), 5, 150.0)
(((0, 2), (0, 3)), 4, 135.0)
(((0, 4), (1, 4)), 5, 164.0)
(((0, 5), (1, 5)), 5, 170.0)
(((1, 3), (1, 4)), 6, 243.8888888888889)
(((1, 4), (2, 4)), 5, 182.66666666666669)
(((1, 4), (1, 5)), 5, 196.66666666666669)
(((2, 2), (3, 2)), 9, 362.5925925925926)
(((2, 2), (2, 3)), 5, 146.0)
(((2, 3), (2, 4)), 5, 196.0)
(((2, 5), (2, 6)), 5, 148.0)
(((3, 1), (3, 2)), 1930, 814.2963607204529)
(((3, 5), (3, 6)), 5, 196.0)
(((4, 4), (4, 5)), 6, 232.7777777777778)
