500
2
2000
2
30301020204030202030603050206030503020506020106020101020205060601030206040101030606010406040503030
(((0, 2), (1, 2)), 34, 345.52941176470586)
(((1, 0), (2, 0)), 11, 178.1818181818182)
(((1, 1), (1, 2)), 11, 165.45454545454547)
(((1, 2), (2, 2)), 11, 178.1818181818182)
(((1, 3), (2, 3)), 26, 312.11538461538464)
(((4, 4), (5, 4)), 26, 314.7435897435898)
(((5, 2), (6, 2)), 1849, 641.1055267969818)
(((5, 3), (5, 4)), 10, 143.0)
(((5, 4), (6, 4)), 13, 206.92307692307693)
(((5, 4), (5, 5)), 9, 140.0)
