500
2
2000
2
20601010505040503060504050203040605030602020405010403040203050603040105040301010301040506010106020
(((0, 1), (0, 2)), 86, 180.81395348837208)
(((0, 3), (1, 3)), 73, 168.65753424657538)
(((0, 3), (0, 4)), 71, 166.70422535211267)
(((0, 4), (1, 4)), 68, 163.76470588235293)
(((2, 2), (2, 3)), 84, 179.01190476190482)
(((3, 2), (3, 3)), 92, 185.6413043478261)
(((3, 3), (4, 3)), 77, 172.51948051948048)
(((3, 4), (3, 5)), 1089, 366.5012025012029)
(((3, 5), (4, 5)), 119, 202.30252100840337)
(((4, 1), (5, 1)), 59, 150.81355932203385)
(((4, 4), (4, 5)), 61, 154.7049180327869)
(((5, 5), (5, 6)), 121, 203.70247933884298)
