500
2
2000
2
50302050404050505060406040504020405020201030301040501020201030505040503030404060604030601030404060
(((0, 3), (1, 3)), 4, 152.5)
(((0, 4), (1, 4)), 4, 150.0)
(((2, 2), (2, 3)), 5, 196.0)
(((2, 3), (2, 4)), 7, 299.047619047619)
(((3, 0), (4, 0)), 5, 198.0)
(((3, 2), (4, 2)), 5, 210.0)
(((3, 3), (3, 4)), 5, 200.0)
(((4, 1), (4, 2)), 5, 182.0)
(((4, 2), (5, 2)), 5, 196.0)
(((4, 5), (4, 6)), 1936, 836.5013610127228)
(((5, 3), (6, 3)), 9, 348.3333333333333)
(((5, 4), (6, 4)), 5, 184.0)
(((5, 5), (5, 6)), 5, 176.0)
