500
2
2000
2
10204020602050104020406260205020406010604040403010204030105010403040102030607430106050105020505040
(((0, 2), (1, 2)), 5, 1276.6666666666667)
(((0, 4), (0, 5)), 8, 1478.125)
(((1, 1), (1, 2)), 8, 1453.9583333333333)
(((1, 2), (2, 2)), 1, 120.0)
(((1, 2), (1, 3)), 1, 326.6666666666667)
(((1, 3), (2, 3)), 10, 1527.0)
(((1, 4), (2, 4)), 5, 1424.3333333333333)
(((2, 1), (2, 2)), 1, 326.6666666666667)
(((2, 2), (3, 2)), 1, 353.3333333333333)
(((2, 3), (2, 4)), 11, 1562.4242424242425)
(((2, 4), (2, 5)), 1, 366.6666666666667)
(((2, 5), (2, 6)), 1, 160.0)
(((4, 3), (5, 3)), 17, 1698.8235294117646)
(((5, 2), (5, 3)), 1907, 2018.7498314480486)
(((5, 3), (6, 3)), 12, 1624.0)
(((5, 3), (5, 4)), 11, 1608.1818181818182)
