500
2
2000
2
10405020401020106040201050304060401030301040201040503030504030103020301030602061401040403020405050
(((0, 1), (0, 2)), 6, 151.66666666666666)
(((1, 5), (1, 6)), 7, 170.0)
(((2, 4), (3, 4)), 6, 145.0)
(((2, 5), (2, 6)), 27, 396.6543209876544)
(((3, 2), (3, 3)), 1900, 871.1534502923946)
(((3, 4), (4, 4)), 7, 175.71428571428572)
(((3, 4), (3, 5)), 7, 157.14285714285714)
(((3, 5), (4, 5)), 7, 155.71428571428572)
(((4, 0), (4, 1)), 7, 187.61904761904762)
(((4, 4), (4, 5)), 8, 200.0)
(((4, 5), (4, 6)), 9, 228.88888888888889)
(((5, 1), (5, 2)), 9, 227.22222222222223)
