500
2
2000
2
50105060605020305060504030503020301050404060405020503010504040504040106050501050304040103050202030
(((0, 1), (1, 1)), 11, 184.0909090909091)
(((0, 2), (1, 2)), 1738, 711.9028165926896)
(((1, 3), (1, 4)), 10, 159.33333333333334)
(((1, 4), (2, 4)), 14, 227.7380952380952)
(((3, 3), (4, 3)), 14, 228.21428571428572)
(((4, 0), (5, 0)), 15, 234.33333333333334)
(((4, 2), (4, 3)), 15, 243.33333333333334)
(((4, 3), (5, 3)), 44, 376.6363636363636)
(((4, 3), (4, 4)), 37, 361.20720720720726)
(((4, 4), (5, 4)), 12, 195.0)
(((5, 2), (5, 3)), 20, 286.6666666666667)
(((5, 3), (6, 3)), 58, 404.59195402298855)
(((5, 3), (5, 4)), 12, 197.2222222222222)
